n_high,n_low,max_hold,stop_atr_mult,avg_sharpe,avg_return,avg_drawdown,avg_win_rate,total_trades,positive_ratio,tested_symbols,score
5,3,10,1.5,-0.18574811683052922,0.0006039391026678816,0.3261532019285976,0.39031790792683363,2694,0.49122807017543857,57,0.5319133349804188
10,5,7,2.0,-0.1127527134634655,0.00033321168529334055,0.2734009378043392,0.45133933624107925,2122,0.43859649122807015,57,0.5278344238327514
10,5,7,2.5,-0.11926751460489338,0.0003600786235350905,0.2670123178294602,0.4518553321131123,2122,0.43859649122807015,57,0.5266664435069154
7,3,5,2.5,-0.25032278753162357,0.0009162104499882787,0.2515090592226905,0.4422712950728301,2786,0.47368421052631576,57,0.5192146946823937
7,3,5,1.5,-0.26465748324309635,0.0009748768658894854,0.24677752093866095,0.4382688409761676,2789,0.45614035087719296,57,0.5095695375319724
10,5,5,2.5,-0.17892927536550152,0.0003847006920690893,0.24282529208993522,0.4551611822734743,2344,0.49122807017543857,57,0.5086219745525702
10,5,5,2.0,-0.18496611921981576,0.00041256359089651093,0.24573481199862215,0.45379066166356063,2345,0.47368421052631576,57,0.5009027098903162
7,3,5,2.0,-0.2624296882085635,0.0009337426159628554,0.2514052391483179,0.44136013670553137,2787,0.43859649122807015,57,0.4988537065138319
3,3,7,1.5,-0.20229759772177472,0.0006525260276402272,0.3111312715251363,0.42570077618432794,3609,0.40350877192982454,57,0.4913365334625227
10,5,5,1.5,-0.1753296241993793,0.00028145736417181937,0.24975600879942153,0.448957081912237,2346,0.47368421052631576,57,0.4909112875036987
7,3,7,2.0,-0.2949984307899158,0.0009713304812358333,0.26710951149758655,0.41137161969516073,2553,0.42105263157894735,57,0.47359068178852776
7,3,7,2.5,-0.29728646212071813,0.0009773650654165834,0.2663555255674852,0.41182146225026645,2553,0.42105263157894735,57,0.4727442208547096
10,5,7,1.5,-0.16554517208845157,3.7376742763307934e-05,0.29194451234644,0.44312269151771966,2126,0.45614035087719296,57,0.45951636288907505
7,3,7,1.5,-0.36137443267079944,0.0010312850626431266,0.2565845421014946,0.40808269035741374,2556,0.42105263157894735,57,0.4342701916523266
10,3,5,2.5,-0.2556849085284143,0.00022164117741670176,0.25374189399853475,0.4373463163363249,2356,0.49122807017543857,57,0.43334506423757857
3,3,7,2.5,-0.262354855141732,0.000580746422339802,0.3143097169328012,0.42704806220046976,3596,0.38596491228070173,57,0.43257674407835395
5,3,7,1.5,-0.3380733067071993,0.0008612644701149258,0.2837542131806802,0.4197638239243301,2985,0.42105263157894735,57,0.4289653231837458
3,3,7,2.0,-0.2649291707700117,0.000557124771368813,0.31478212454063714,0.42653818231350166,3599,0.38596491228070173,57,0.42772364306629385
10,5,10,1.5,-0.19217184100556234,-0.0002436537470297012,0.33546309599553337,0.4169578646922235,1915,0.5087719298245614,57,0.4256641390932888
10,3,5,2.0,-0.25953063601189547,0.00023541697998207356,0.2537329843224626,0.436357183979653,2357,0.47368421052631576,57,0.4253707590480521
5,3,7,2.0,-0.34904361591078176,0.0007740281586017631,0.2933706267122791,0.42292092936171183,2980,0.42105263157894735,57,0.41000620015256684
7,3,10,1.5,-0.43107666470583644,0.000855906121992181,0.31225194819138996,0.3789782627805328,2314,0.5263157894736842,57,0.40451393466748276
5,3,7,2.5,-0.34819809826137654,0.0007786885906504492,0.29295624942869886,0.42329420297126763,2980,0.40350877192982454,57,0.40418526565897683
7,3,10,2.5,-0.4101774686650151,0.0007250310805816348,0.32862641876384746,0.38668381723289985,2305,0.5263157894736842,57,0.4025289408284949
10,3,5,1.5,-0.2903671960811418,0.00022129754399887835,0.24932675857853717,0.43314189484208915,2358,0.45614035087719296,57,0.3947022703831935
7,3,10,2.0,-0.4267745337887777,0.0006934078924730004,0.33175966236618054,0.3855420484686566,2307,0.5087719298245614,57,0.37970040085256074
10,3,7,2.5,-0.25569180109747,-7.631626704275657e-05,0.2949517151360308,0.41034724925266913,2156,0.43859649122807015,57,0.3740698078002941
10,3,7,2.0,-0.2548527528724211,-8.263514381190746e-05,0.29580189553027575,0.40983125338063614,2156,0.43859649122807015,57,0.3738535656355373
10,5,10,2.5,-0.26027332045167917,-0.00025211062292138103,0.33376202136791966,0.4303355487269857,1900,0.45614035087719296,57,0.355294104142374
10,3,7,1.5,-0.2835543941314458,-0.00025099183334178576,0.30527857219144483,0.4070547944065198,2157,0.45614035087719296,57,0.33894885354014126
10,5,10,2.0,-0.27522072225151306,-0.00038531818340865106,0.3411263938238556,0.42954699196923757,1901,0.45614035087719296,57,0.3276216788134354
10,3,10,1.5,-0.28244832516026275,-0.0004785343594678659,0.3490783938504093,0.37238706256151066,1970,0.49122807017543857,57,0.32458139242273615
10,3,10,2.5,-0.32220394916033945,-0.0006468672996591272,0.3561484372335286,0.38037839631519493,1963,0.45614035087719296,57,0.2607981437091002
10,3,10,2.0,-0.3262123931913828,-0.0006564818505417743,0.357642613506721,0.3796181811987592,1964,0.45614035087719296,57,0.2567259569892407
